i,e,eta,J,|k|,|u|,Esum
8773,6.64375e-05,6.64375e-05,1.07368e+09,0.000615055,9.75188e-05,1.07368e+09
8774,-0.000244461,-0.000244461,1.07368e+09,0.00064454,9.59887e-05,1.07368e+09
8775,6.89604e-06,6.89604e-06,1.07368e+09,0.000644912,9.51477e-05,1.07368e+09
8776,-0.000156266,-0.000156266,1.07368e+09,0.00067653,9.47024e-05,1.07368e+09
8777,-0.000163441,-0.000163441,1.07368e+09,0.000647906,9.49797e-05,1.07368e+09
8778,-7.48439e-05,-7.48439e-05,1.07368e+09,0.000658166,9.50722e-05,1.07368e+09
8779,-0.000227129,-0.000227129,1.07368e+09,0.000622831,9.54224e-05,1.07368e+09
8780,-3.04869e-05,-3.04869e-05,1.07368e+09,0.000619119,9.60613e-05,1.07368e+09
8781,-0.000212224,-0.000212224,1.07368e+09,0.000612255,9.71931e-05,1.07368e+09
8782,-7.39492e-05,-7.39492e-05,1.07368e+09,0.000605451,9.9009e-05,1.07368e+09
8783,-0.000220022,-0.000220022,1.07368e+09,0.000629708,0.000101536,1.07368e+09
8784,-6.98738e-05,-6.98738e-05,1.07368e+09,0.000620868,0.00010469,1.07368e+09
8785,-0.00022469,-0.00022469,1.07368e+09,0.000659962,0.000107613,1.07368e+09
8786,-9.82721e-05,-9.82721e-05,1.07368e+09,0.000631001,0.000110384,1.07368e+09
8787,-0.000185468,-0.000185468,1.07368e+09,0.00065433,0.000113189,1.07368e+09
8788,-0.00013533,-0.00013533,1.07368e+09,0.000610394,0.000116348,1.07368e+09
8789,-6.76498e-05,-6.76498e-05,1.07368e+09,0.000601534,0.000119366,1.07368e+09
8790,-0.000228761,-0.000228761,1.07368e+09,0.00058313,0.000122633,1.07368e+09
8791,-4.51601e-05,-4.51601e-05,1.07368e+09,0.00057625,0.000126464,1.07368e+09
8792,-0.000274086,-0.000274086,1.07368e+09,0.000599287,0.000130759,1.07368e+09
8793,-6.90863e-05,-6.90863e-05,1.07368e+09,0.000592775,0.000135245,1.07368e+09
8794,-0.000237217,-0.000237217,1.07368e+09,0.000632477,0.00013964,1.07368e+09
8795,-9.60954e-05,-9.60954e-05,1.07368e+09,0.000619859,0.000143758,1.07368e+09
8796,-0.000155146,-0.000155146,1.07368e+09,0.000634498,0.000147577,1.07368e+09
8797,-0.000146451,-0.000146451,1.07368e+09,0.00060097,0.00015183,1.07368e+09
8798,-8.19123e-05,-8.19123e-05,1.07368e+09,0.000575032,0.000156322,1.07368e+09
